Timestamp,Point(01101020),Point(01101520),Point(01101540),Point(01102010),Point(01102020),Point(01102510),Point(01103010),Point(01103520),Point(01104030),Point(01105010),Point(01105520),Point(01106050),Point(01107020),Point(01107030),Point(01108010),Point(01110010),Point(01203090),Point(01203100),Point(01203110),Point(01203520),Point(01224010),Point(01224020),Point(01224050),Point(01224060),Point(01302010),Point(01579030)
2024-06-01 01:00:00,NaN,4.0,3.0,2.0,11.0,-2.0,NaN,1.0,2.0,NaN,4.0,3.0,3.0,4.0,2.0,3.0,NaN,0.0,NaN,NaN,NaN,11.0,NaN,NaN,NaN,NaN
2024-06-01 02:00:00,NaN,3.0,3.0,2.0,11.0,4.0,NaN,0.0,2.0,NaN,5.0,2.0,3.0,0.0,2.0,4.0,NaN,3.0,NaN,NaN,NaN,9.0,NaN,NaN,NaN,NaN
2024-06-01 03:00:00,NaN,3.0,3.0,2.0,9.0,4.0,NaN,6.0,1.0,NaN,2.0,2.0,4.0,2.0,3.0,4.0,NaN,-2.0,NaN,NaN,NaN,9.0,NaN,NaN,NaN,NaN
2024-06-01 04:00:00,NaN,4.0,6.0,2.0,0.0,8.0,NaN,6.0,3.0,NaN,6.0,2.0,3.0,2.0,3.0,4.0,NaN,1.0,NaN,NaN,NaN,9.0,NaN,NaN,NaN,NaN
2024-06-01 05:00:00,NaN,4.0,4.0,0.0,4.0,-1.0,NaN,3.0,5.0,NaN,4.0,3.0,2.0,2.0,6.0,3.0,NaN,3.0,NaN,NaN,NaN,12.0,NaN,NaN,NaN,NaN
2024-06-01 06:00:00,NaN,6.0,4.0,3.0,-3.0,4.0,NaN,9.0,5.0,NaN,4.0,4.0,5.0,4.0,8.0,3.0,NaN,5.0,NaN,NaN,NaN,11.0,NaN,NaN,NaN,NaN
2024-06-01 07:00:00,NaN,3.0,2.0,4.0,4.0,2.0,NaN,5.0,3.0,NaN,3.0,3.0,4.0,6.0,2.0,5.0,NaN,1.0,NaN,NaN,NaN,12.0,NaN,NaN,NaN,NaN
2024-06-01 08:00:00,NaN,4.0,5.0,4.0,12.0,4.0,NaN,5.0,4.0,NaN,5.0,3.0,5.0,7.0,4.0,6.0,NaN,10.0,NaN,NaN,NaN,7.0,NaN,NaN,NaN,NaN
2024-06-01 09:00:00,NaN,6.0,5.0,5.0,8.0,7.0,NaN,1.0,4.0,NaN,5.0,4.0,3.0,4.0,0.0,5.0,NaN,4.0,NaN,NaN,NaN,8.0,NaN,NaN,NaN,NaN
2024-06-01 10:00:00,NaN,3.0,4.0,4.0,22.0,4.0,NaN,6.0,7.0,NaN,6.0,7.0,5.0,5.0,4.0,6.0,NaN,7.0,NaN,NaN,NaN,8.0,NaN,NaN,NaN,NaN
2024-06-01 11:00:00,NaN,8.0,9.0,5.0,15.0,6.0,NaN,-2.0,8.0,NaN,10.0,8.0,5.0,6.0,6.0,8.0,NaN,9.0,NaN,NaN,NaN,10.0,NaN,NaN,NaN,NaN
2024-06-01 12:00:00,NaN,6.0,9.0,6.0,23.0,11.0,NaN,7.0,7.0,NaN,6.0,8.0,8.0,6.0,5.0,7.0,NaN,9.0,NaN,NaN,NaN,10.0,NaN,NaN,NaN,NaN
2024-06-01 13:00:00,NaN,5.0,6.0,7.0,18.0,12.0,NaN,10.0,6.0,NaN,7.0,7.0,8.0,9.0,5.0,5.0,NaN,6.0,NaN,NaN,NaN,9.0,NaN,NaN,NaN,NaN
2024-06-01 14:00:00,NaN,7.0,6.0,8.0,10.0,9.0,NaN,8.0,6.0,NaN,6.0,8.0,8.0,6.0,5.0,7.0,NaN,8.0,NaN,NaN,NaN,7.0,NaN,NaN,NaN,NaN
2024-06-01 15:00:00,NaN,4.0,6.0,5.0,12.0,3.0,NaN,7.0,4.0,NaN,5.0,7.0,6.0,3.0,3.0,5.0,NaN,9.0,NaN,NaN,NaN,9.0,NaN,NaN,NaN,NaN
2024-06-01 16:00:00,NaN,6.0,8.0,8.0,10.0,8.0,NaN,11.0,5.0,NaN,5.0,9.0,6.0,4.0,9.0,6.0,NaN,2.0,NaN,NaN,NaN,7.0,NaN,NaN,NaN,NaN
2024-06-01 17:00:00,NaN,6.0,9.0,7.0,15.0,8.0,NaN,8.0,8.0,NaN,7.0,9.0,5.0,3.0,4.0,6.0,NaN,3.0,NaN,NaN,NaN,8.0,NaN,NaN,NaN,NaN
2024-06-01 18:00:00,NaN,6.0,3.0,7.0,11.0,5.0,NaN,7.0,6.0,NaN,6.0,7.0,4.0,4.0,4.0,5.0,NaN,13.0,NaN,NaN,NaN,6.0,NaN,NaN,NaN,NaN
2024-06-01 19:00:00,NaN,7.0,6.0,7.0,-3.0,7.0,NaN,5.0,5.0,NaN,6.0,4.0,1.0,1.0,4.0,5.0,NaN,3.0,NaN,NaN,NaN,8.0,NaN,NaN,NaN,NaN
2024-06-01 20:00:00,NaN,6.0,3.0,5.0,0.0,9.0,NaN,-3.0,3.0,NaN,3.0,5.0,3.0,2.0,2.0,4.0,NaN,5.0,NaN,NaN,NaN,6.0,NaN,NaN,NaN,NaN
2024-06-01 21:00:00,NaN,4.0,5.0,4.0,-7.0,6.0,NaN,4.0,2.0,NaN,2.0,5.0,7.0,4.0,1.0,4.0,NaN,10.0,NaN,NaN,NaN,7.0,NaN,NaN,NaN,NaN
2024-06-01 22:00:00,NaN,4.0,3.0,3.0,-5.0,6.0,NaN,4.0,3.0,NaN,2.0,3.0,6.0,3.0,4.0,4.0,NaN,12.0,NaN,NaN,NaN,8.0,NaN,NaN,NaN,NaN
2024-06-01 23:00:00,NaN,3.0,5.0,7.0,3.0,12.0,NaN,6.0,4.0,NaN,4.0,3.0,5.0,5.0,3.0,4.0,NaN,8.0,NaN,NaN,NaN,5.0,NaN,NaN,NaN,NaN
2024-06-02 00:00:00,NaN,7.0,7.0,7.0,3.0,8.0,NaN,6.0,4.0,NaN,5.0,6.0,6.0,4.0,2.0,6.0,NaN,8.0,NaN,NaN,NaN,5.0,NaN,NaN,NaN,NaN
2024-06-02 01:00:00,NaN,4.0,8.0,5.0,8.0,7.0,NaN,5.0,3.0,NaN,3.0,3.0,4.0,5.0,5.0,4.0,NaN,9.0,NaN,NaN,NaN,2.0,NaN,NaN,NaN,NaN
2024-06-02 02:00:00,NaN,6.0,5.0,4.0,2.0,5.0,NaN,2.0,0.0,NaN,4.0,5.0,4.0,4.0,1.0,2.0,NaN,9.0,NaN,NaN,NaN,8.0,NaN,NaN,NaN,NaN
2024-06-02 03:00:00,NaN,4.0,2.0,1.0,3.0,5.0,NaN,3.0,-1.0,NaN,5.0,5.0,4.0,6.0,2.0,3.0,NaN,4.0,NaN,NaN,NaN,3.0,NaN,NaN,NaN,NaN
2024-06-02 04:00:00,NaN,2.0,4.0,2.0,4.0,4.0,NaN,3.0,0.0,NaN,3.0,5.0,4.0,2.0,2.0,4.0,NaN,11.0,NaN,NaN,NaN,7.0,NaN,NaN,NaN,NaN
2024-06-02 05:00:00,NaN,4.0,4.0,3.0,-3.0,11.0,NaN,4.0,2.0,NaN,4.0,3.0,4.0,3.0,0.0,1.0,NaN,5.0,NaN,NaN,NaN,3.0,NaN,NaN,NaN,NaN
2024-06-02 06:00:00,NaN,4.0,3.0,3.0,-5.0,4.0,NaN,6.0,2.0,NaN,2.0,4.0,4.0,2.0,-1.0,2.0,NaN,7.0,NaN,NaN,NaN,7.0,NaN,NaN,NaN,NaN
2024-06-02 07:00:00,NaN,1.0,2.0,1.0,5.0,4.0,NaN,-3.0,2.0,NaN,3.0,2.0,2.0,1.0,1.0,3.0,NaN,7.0,NaN,NaN,NaN,5.0,NaN,NaN,NaN,NaN
