stationid,lat,lon
27205530,34.756319,135.5212195
01101010,43.06225480000001,141.3532777
01101020,43.0396273,141.3252375
01101520,43.06225480000001,141.3532777
01101540,43.0409769,141.3445286
01102010,43.1453261,141.3711567
01102020,43.0820313,141.3331053
01102510,43.0843826,141.3483898
01103010,43.0839536,141.3587536
01103520,43.1037853,141.3741522
01104030,43.0691627,141.4156654
01105010,43.0228762,141.4269315
01105520,43.03045300000001,141.396111
01106050,42.9626928,141.3548381
01107020,43.0877638,141.2890968
01107030,43.124975,141.2459108
01108010,43.04212950000001,141.4630875
01110010,42.99926180000001,141.4435827
01202080,41.8188869,140.7468006
01202100,41.77803979999999,140.7365488
01202110,41.7958914,140.7302196
01202560,41.8188869,140.7468006
01202570,41.7830756,140.76832
01203090,43.139733,141.1564479
01203100,43.1816823,141.0219079
01203110,43.2105522,140.9369767
01203520,43.1969095,140.9946841
01204010,43.7702998,142.3645743
01204011,43.7702998,142.3645743
01204050,43.7940457,142.3294024
01204150,43.7482619,142.3964685
01204160,43.8107633,142.4360185
01205020,42.3223606,140.9984815
01205060,42.3783205,140.9418307
01205310,42.33715369999999,141.0170784
01205320,42.347823,141.0334107
01205540,42.34025,141.0241673
01205550,42.36597709999999,140.951444
01206280,43.0173372,144.2606979
01206290,43.0214076,144.3636328
01207090,42.9239722,143.1960911
01208510,43.7987008,143.8907183
01213020,42.6503481,141.6071581
01213050,42.6576551,141.6309688
01213070,42.628815,141.7239436
01213220,42.6698527,141.6892571
01213510,42.627265,141.5414423
01213610,42.6340373,141.6055597
01224010,42.8299585,141.6722923
01224020,42.8395695,141.6430061
01224050,42.7975721,141.7340661
01224060,42.7896547,141.5998683
01224510,42.8240893,141.6559533
01226010,43.50902929999999,141.9187227
01302010,43.1581633,141.2835762
01335030,41.83442470000001,140.6956611
01424010,43.4252332,141.8791082
01518950,45.1530013,141.2269035
01578010,42.5505664,141.3559622
01578030,42.5096181,141.2906905
01579020,42.73334,141.7733971
01579030,42.76268890000001,141.8055239
01581010,42.7212216,141.8850671
01581020,42.6461029,141.8491359
01582020,42.6011207,141.8976741
01582030,42.5790773,141.925667
02201070,40.8192369,140.761095
02201080,40.8140302,140.7341438
02201090,40.8258545,140.6748354
02201520,40.8243069,140.7528079
02202060,40.6085258,140.4771848
02202510,40.5942053,140.4396435
02203050,40.5322634,141.4711699
02203220,40.56001,141.4471351
02203240,40.5163489,141.4806243
02203260,40.5275241,141.5221467
02203510,40.5079413,141.4901961
02204010,40.6505456,140.5941222
10425010,36.4836568,138.4937213
02205010,40.7818583,140.4634634
02206030,40.6089347,141.2031855
02207020,40.6940313,141.3763288
02208030,41.28404949999999,141.2092613
02307950,41.2412816,140.368568
02321010,40.78269179999999,140.2381031
02364510,40.7570732,140.5898472
02411010,40.97637659999999,141.3593692
03201070,39.6637187,141.1453408
03201550,39.7203557,141.13815
03202050,39.6442869,141.9498839
03203090,39.0952669,141.7045921
03204010,39.1440371,141.1401285
03205010,39.3900124,141.1158996
03206010,39.2872222,141.1108537
03207010,40.1916885,141.7627117
03209010,38.9358415,141.1272191
03209510,38.9324055,141.1186394
03211070,39.2658381,141.8454254
03213020,40.2688046,141.2958978
03215010,39.1928193,141.1752501
03305010,39.7817034,141.1405021
03321010,39.5552792,141.1722039
04101010,38.2718954,140.7767039
04101020,38.2686728,140.7641372
04101510,38.2932172,140.8733429
04104010,38.2585519,140.6712978
04105520,38.3107165,140.8457951
04105530,38.3365894,140.8860157
04201020,38.3012838,140.946114
04201030,38.2908644,140.9105083
04201050,38.2189391,140.8892424
04201060,38.2964508,140.8389242
04201070,38.2648566,140.9765374
04201080,38.241072,140.9420495
04201210,38.2803781,140.9718261
04201220,38.2211062,140.8278262
04201230,38.26004229999999,140.8963204
04201540,38.2672734,140.9109735
04201550,38.2727087,140.8640566
04201560,38.2508938,140.8818405
04202060,38.4330154,141.2620458
04203010,38.3143308,141.0220539
04203510,38.3143557,141.0298497
04204020,38.5665918,140.9745424
04204510,38.5711324,140.9790227
04205020,38.902746,141.5709194
04206010,37.9973807,140.6193414
04207510,38.1708702,140.8914668
04210010,38.3229584,140.8931671
04211010,38.1114753,140.8680692
04323010,38.0565554,140.7658698
04341010,37.8562241,140.817232
04362010,37.9406596,140.8928995
04401010,38.3895246,141.0715152
04406010,38.330037,140.9811807
04421010,38.4471773,140.8869295
04501010,38.5504263,141.170805
04521010,38.7385708,141.0187123
04541010,38.691779,141.2081563
04562020,38.412416,141.2088986
05201010,39.7615051,140.0822435
05201030,39.703907,140.1026808
05201040,39.6795727,140.1304672
05201060,39.7955231,140.1234359
05201080,39.75626279999999,140.0667965
05201120,39.7201283,140.1017801
05201130,39.6770693,140.0839452
05201340,39.7899111,140.0616933
05201370,39.7143034,140.1466801
05201530,39.703907,140.1026808
05202020,40.2107604,140.0196592
05202040,40.1695274,140.1195362
05203020,39.3100292,140.5781487
05204020,40.2737896,140.5728139
05205010,39.3839601,140.0499266
